A    
a     art.一(个)；每一(个)
effulgent     [i'fʌldʒənt] a.(光线)灿烂的
egalitarian     [i,ɡæli'teəriən] a.主张人人平等的
egg     [eg] n.蛋，鸡蛋，卵
ego     n.自我,利已主义,自负
egocentric     [,i:ɡəu'sentrik] a.利己的
egoism     ['i:ɡəuiz(ə)m] n. 利己主义
egotist     ['i:ɡəutist] n.自私自利者
egregious     [i'ɡri:dʒəs] a.(缺点等)过分的，惊人的
egress     ['i:ɡres] n.出去，出口
eight     [eit] num.八，八个，第八
eighteen     [ˈeiˈtiːn] num.十八，十八个
eighth     [eitθ] num.第八 n.八分之一
eighty     [ˈeiti] num.八十，八十个
either     [ˈaiðə(r)] pron.(两者)任何一个
ejaculate     [i'dʒækjuleit] v. 突然叫出或说出；射出
eject     vt.逐出,撵出,驱逐,喷射;n.推断的事物
elaborate     [iˈlæbərət] a.复杂的；精心制作的
elaboration     [i,læbə'reiʃən] n.详细的细节，详尽阐述
elapse     vi.(时间)过去,消逝;v.流逝
elastic     [iˈlæstik] n.松紧带 a.有弹性的
elated     [i'leitid] a.兴高采烈的，情绪高昂的
elbow     [ˈelbəu] n.肘，肘部；弯管
elder     [ˈeldə(r)] a.年龄较大的 n.长者
elderly     ['eldəli] a.较老的，年长的n.[the～]到了晚年的人
elect     [iˈlekt] vt.选举，推选；选择
election     [iˈlek∫(ə)n] n.选举，选择权；当选
electorate     [i'lektərət] n. 选民，选区；有选举权者
electric     [iˈlektrik] a.电的，电动的
electrical     [iˈlektrik(ə)l] a.电的，电气科学的
electrician     n.电工,电学家
electricity     [ilekˈtrisiti] n.电，电学；电流
electron     [iˈlektrɔn] n.电子
electronic     [ilekˈtrɔnik] a.电子的
electronics     [ilekˈtrɔniks] n.电子学
elegant     adj.文雅的,端庄的,雅致的,<口>上品的,第一流的
elegy     ['elidʒi] n.哀歌，挽歌
element     [ˈelimənt] n.成分；要素；元素
elementary     [ˌeliˈmentəri] a.基本的；初级的
elephant     [ˈelifənt] n.象
elephantine     [,eli'fæntain] a.笨拙的；庞大的
elevate     ['eliveit] v.将„举起
elevator     [ˈeliveitə] n.电梯；升降机
eleven     [iˈlevən] num.十一，十一个
eleventh     [iˈlevnθ] num.第十一(个)
elicit     [i'lisit] v.引出，探出
eligible     ['elidʒəbl] a.合格的
eliminate     [iˈlimineit] vt.消灭，消除，排除
elimination     [iˌlimiˈnei∫ən] n.消灭，排除，消除
elite     [ei'li:t] n.精华，中坚
elixir     [i'liksə] n. 万灵药，长生不老药
ellipsis     [i'lipsis] n.省略
elliptical     [i'liptikəl] a.椭圆的；含糊的；省略的
elm     [elm] n.榆树
elocution     [,elə'kju:ʃən] n.演说术
elongate     ['i:lɔŋɡeit] v.延长，伸长
eloquence     ['eləkwəns] n.雄辩，口才，精彩演讲
eloquent     adj.雄辩的,有口才的,动人的,意味深长的
else     [els] ad.其它，另外 a.别的
elsewhere     [ˈelsˈweə] ad.在别处，向别处
elucidate     [i'lju:sideit] v.（清晰）阐明，说明
elude     [i'lju:d] v.逃避；不理解，不记得
elusive     [i'lju:siv] a.难懂的
elysian     [i'liziən] a. 乐土的，像天空的，幸福的
emaciate     [i'meiʃieit] v.使„瘦弱；消瘦
emaciation     [i,meiʃi'eiʃən] n.消瘦，衰弱
e-mail     n.(electronic mail)电子信函，电子邮件
emanate     ['eməneit] v.发源
emancipate     [i'mænsipeit] v.解放，解除束缚
emasculate     [i'mæskjuleit] v. 削弱；阉割；a. 柔弱的
embankment     [im'bæŋkmənt] n. 堤岸，路基
embargo     [em'bɑ:ɡəu] n.禁运令，封港令
embark     v.上船,上飞机,着手,从事,装于船上,登上
embarrass     [imˈbærəs] vt.使窘迫，使为难
embassy     ['embəsi] n.大使馆;大使及其随员
embed     [im'bed] v.牢牢插入，嵌于
embellish     [im'beliʃ] v.装饰，润饰
embezzlement     [im'bezlmənt] n.贪污，盗用
embitter     [im'bitə] v. 使痛苦，使难受
emblazon     [im'bleizən] v. 以纹章或其他方式装饰
emblematic     [,embli'mætik] a.作为象征的
embodiment     [im'bɔdimənt] n. 化身，体现
embody     [im'bɔdi] v.(作品等)表达，体现
embolden     [im'bəuldən] v.鼓励，给予信心
emboss     [im'bɔs] v.（装饰）加浮雕花纹于，使凸出
embrace     [imˈbreis] vt.拥抱；包括；包围
embroider     [im'brɔidə] v.刺绣，修饰
embroil     [im'brɔil] v. 牵连，卷入纠纷
embryonic     [,embri'ɔnik] a. 胚胎的；萌芽期的
emend     [i'mend] v.订正，校订
emerald     ['emərəld] n. 翡翠；a. 翠绿色的
emerge     [iˈməːdʒ] vi.出现，涌现；冒出
emergency     [iˈməːdʒnsi] n.紧急情况，突然事件
emigrate     ['emiɡreit] v.自本国移居他国
eminence     ['eminəns] n.卓越，杰出
eminent     ['eminənt] a.著名的，显著的
emissary     ['emisəri] n.密使；特使
emit     [iˈmit] vt.散发；发射；发表
emollient     [i'mɔliənt] n.润肤剂
emolument     [i'mɔljumənt] n. 报酬，薪水
emote     [i'məut] v.激动地表达感情
emotion     [iˈməu∫ən] n.情感，感情；激动
emotional     [iˈməu∫ənl] a.感情的，情绪的
empathy     ['empəθi] n.心意相通，(感情等)融为一体
emperor     [ˈempərə] n.皇帝
emphasis     [ˈemfəsis] n.强调，重点，重要性
emphasize     [ˈemfəsaiz] vt.强调，着重
emphatic     [im'fætik] a.重视的，强调的
empire     [ˈempaiə] n.帝国
empirical     [em'pirikəl] a.以经验或观察为根据的
empiricism     [em'pirisizəm] n.经验主义
employ     [imˈplɔi] vi.雇用；用；使忙于
employee     [ˌemplɔiˈiː] n.受雇者，雇员，雇工
employer     [imˈplɔiə] n.雇佣者，雇主
employment     [imˈplɔimənt] n.工业；雇/使用
empower     [im'pauə] v.授权给某人采取行动
empty     [ˈempti] a.空的；空洞的
empyreal     [,empai'ri:əl] a.天空的
empyrean     [,empai'ri(:)ən] n. 天空，天神居处
emulate     ['emjuleit] v.努力赶上或超越
emulsify     [i'mʌlsifai] v.使乳化
enable     [iˈneibl] vt.使能够，使可能
enact     [i'nækt] v.制定(法律)；扮演(角色)
enamel     [i'næməl] n.珐琅，瓷釉,搪瓷
enamored     [i'næməd] a.珍爱的，喜爱的
encapsulate     [in'kæpsjuleit] v.装入胶囊；概括，成为典型，成为缩影
enchant     [in'tʃɑ:nt] v.使迷醉；施魔法于
encipher     [in'saifə] v. 译成密码
enclose     [inˈkləuz] vt.围住，圈起；附上
enclosure     [in'kləuʒə] n.圈地，围占
encomiast     [en'kəumiæst] n.赞美者
encomiastic     [en,kəumi'æstik] a. 赞颂的，阿谀的
encomium     [en'kəumjəm] n.赞颂，颂辞
encompass     [in'kʌmpəs] v.包围，围绕
encounter     [inˈkauntə] vt.遭遇，遇到 n.遭遇
encourage     [inˈkʌridʒ] vt.鼓励，支持，助长
encroach     [in'krəutʃ] v.逐步侵占，蚕食
encumber     [in'kʌmbə] v.妨害，阻碍
encyclopedia     [en,saikləu'pi:diə] n.百科全书
encyclopedic     [en,saikləu'pi:dik] a. 广博的，知识渊博的
end     [end] n.末端；目标 vt.结束
endearing     [in'diəriŋ] a.讨人喜欢的
endeavor     n.努力,尽力;vi.尽力,努力
endemic     [en'demik] a.地方性的
ending     [ˈendiŋ] n.结尾，结局；死亡
endless     [ˈendlis] a.无止境的
endorse     [in'dɔ:s] v.(支票)背面签字；公开赞同
endow     [in'dau] v.资助，捐助
endue     [in'dju:] v. 赋予(才能)
endurance     n.忍耐(力),持久(力),耐久(性)
endure     [inˈdjuə] vt.忍受；容忍
enduring     [in'djuəriŋ] a.持续的
enemy     [ˈenimi] n.敌人；仇敌；敌兵
energetic     adj.精力充沛的,积极的
energy     [ˈenədʒi] n.活力；精力；能
enervate     ['enə:veit] v.使虚弱，使无力
enfeeble     [in'fi:bl] v.使衰弱
enfetter     [en'fetə] v.给„上脚镣；束缚，使受制于
enflame     [en'fleim] v.使愤怒或激动
enforce     [inˈfɔːs] vt.实施，执行；强制
engage     [inˈgeidʒ] vt.使从事于；聘用
engaged     [in'ɡeidʒd] a.忙碌的；使用中的，被占用的
engagement     n.约会,婚约,诺言,交战,接站,雇拥,[机]接合
engaging     [in'ɡeidʒiŋ] a.迷人的，吸引注意的
engender     [in'dʒendə] v.产生，引起
engine     [ˈendʒin] n.发动机，引擎；机车
engineer     [ˌendʒiˈniə] n.工程师，技师
engineering     [ˌendʒiˈniəriŋ] n.工程，工程学
England     [ˈinglənd] n.英格兰；英国
English     [ˈiŋgli∫] n.英语 a.英国人的
Englishman     [ˈiŋgli∫mən] n.英国男子
engrave     [in'ɡreiv] v.在(硬物)上雕刻
engross     [in'ɡrəus] v.全神贯注于
engrossment     [in'ɡrəusmənt] n. 正式誊写的文件；专注
engulf     [in'ɡʌlf] v.吞噬
enhance     [in'hɑ:ns] v.提高，增加，改善
enjoin     [in'dʒɔin] v.命令，吩咐
enjoy     [inˈdʒɔi] vt.享受；欣赏，喜爱
enlarge     [inˈlɑːdʒ] vt.扩大，扩展；放大
enlighten     [in'laitn] v.启发，开导，教导，授予„知识
enlightening     [in'laitniŋ] a.有启迪作用的；使人领悟的
enlist     [in'list] v.(使)入伍从军，征募
enliven     [in'laivən] v.使„更活跃
enmesh     [in'meʃ] v.通常被动)绊住，陷入网
enmity     ['enmiti] n.敌意，仇恨
ennoble     [i'nəubl] v. 授予爵位，使高贵
ennui     ['ɑ:nwi:] n.倦怠，无聊，不兴奋；v.使无聊
enormity     [i'nɔ:miti] n.极恶；暴行；巨大
enormous     [iˈnɔːməs] a.巨大的，庞大的
enough     [iˈnʌf] a.足够的 ad.足够地
enquire     [in'kwaiə] v.(inquire)询问,打听;调查;查问
enrage     [in'reidʒ] v.激怒，触怒
enrapture     [in'ræptʃə] v.使狂喜，使高兴
enrich     vt.使富足,使肥沃,装饰,加料于,浓缩
enroll     v.[亦作enrol]登记,招收,使入伍(或入会、入学等),参加,成为成员
ensconce     [in'skɔns] v.安置，安坐
ensemble     [ɑ:n'sɑ:mbl] n.全体；大合唱
enshrine     [in'ʃrain] v. 奉为神圣
ensign     ['ensn] n.舰旗(船上表示所属国家的旗帜)
enslave     [in'sleiv] v. 奴役
ensnare     [in'sneə] v. 诱入陷阱，进入罗网
ensue     [in'sju:] v.继而发生
ensure     [inˈ∫uər] vt.保证；保护；赋予
entail     [in'teil] v.需要，需求，必须
entangle     [in'tæŋɡl] v.使纠缠，卷入
enter     [ˈentə] vt.走进，进入；参加
enterprise     ['entəpraiz] n.公司，事业单位；进取心
entertain     [ˌentəˈtein] vt.使欢乐；招待
entertainment     n.款待,娱乐,娱乐表演
enthrall     [in'θrɔ:l] v. 迷惑，迷住
enthralling     [in'θrɔ:liŋ] a.迷人的，吸引人的
enthusiasm     [inˈθjuːziæzəm] n.热情/心，热忱
enthusiastic     [inθjuːziˈæstik] a.热情的，热心的
entice     [in'tais] v.怂恿，引诱
entire     [inˈtaiə] a.全部的，整个的
entirety     [in'taiəti] n.整体，全面
entitle     [inˈtaitl] vt.给…权利(或资格)
entity     ['entiti] n.实体，统一体
entourage     [,ɔntu'rɑ:ʒ] n. 随从；环境
entrance     [inˈtrɑːns] n.入口，门口；进入
entrancing     [in'trɑ:nsiŋ] a.使人入神的
entreat     [in'tri:t] v.恳求
entreaty     [in'tri:ti] n.恳求，哀求
entrée     ['ɔntrei] n.正餐前的开胃菜；获准进入的权利
entrench     [in'trentʃ] v. 挖壕沟；确立
entrepreneur     [,ɔntrəprə'nə:] n.企业家，创业人
entrust     [in'trʌst] v.委托；托付
entry     [ˈentri] n.入口处；登记；进入
entwine     [in'twain] v. 使缠绕，交织
enumerate     [i'nju:məreit] v.列举，枚举
enunciate     [i'nʌnsieit] v.（清楚地）发音；(清楚地)表达
envelope     [ˈenviləup] n.信封；封套；封皮
environ     [in'vaiərən] v.包围，围绕
environment     [inˈvaiərənmənt] n.环境，外界；围绕
environs     ['envirənz] n. 郊外，郊区
envisage     [in'vizidʒ] v. 正视；想像
envision     [in'viʒən] v.想象，预想
envy     [ˈenvi] vt.&n.妒忌；羡慕
enzyme     ['enzaim] n.酵素，酶
epaulet     ['epəulet] n.肩章，肩饰
ephemeral     [i'femərəl] a.朝生暮死的，短暂的；生命短暂的
epic     ['epik] n.叙事诗，史诗；a.英雄的；大规模的
epicure     ['epikjuə] n.美食家
epicurean     [,epikjuə'ri(:)ən] a. 好享乐的；享乐主义的
epideictic     [,epi'daiktik] a. 夸耀的
epidemic     [,epi'demik] a.传染性的，流行性的
epidermis     [,epi'də:mis] n.表皮，外皮
epigram     ['epiɡræm] n.讽刺短句，警句
epilogue     ['epilɔɡ] n.收场白；尾声
episode     ['episəud] n. 一段情节
episodic     [epi'sɔdik] a.偶然发生的，分散性的
epistolary     [i'pistələri] a. 书信体的
epitaph     ['epitɑ:f] n.墓志铭
epithet     ['epiθet] n.(贬低人的)短语或形容词
epitome     [i'pitəmi] n.典型；梗概，摘要
epitomize     [i'pitəmaiz] v.概括，摘要，成为典型，成为缩影
epoch     ['i:pɔk] n.纪元；重大的事件
equable     ['ekwəbl] a.稳定的，不变的；(脾气)温和的
equal     [ˈiːkwəl] a.相等的；平等的
equality     [i(ː)ˈkwɔliti] n.等同，平等；相等
equanimity     [,i:kwə'nimiti] n.心情平静，情绪镇定
equate     [i'kweit] v.认为„相等或相仿
equation     [iˈkwei∫ən] n.方程(式)；等式
equator     [i'kweitə] n.赤道
equestrian     [i'kwestriən] n. 骑师；a. 骑马的
equilibrium     [,i:kwi'libriəm] n.平衡
equine     ['i:kwain] a.马的，似马的
equip     [iˈkwip] vt.装备，配备
equipment     [iˈkwipmənt] n.装备，设备，配备
equity     ['ekwiti] n.公平，公正
equivalent     [iˈkwivələnt] a.相等的；等量的
equivocate     [i'kwivəkeit] v.模棱两可地说，支吾其词，说谎
equivocation     [i,kwivə'keiʃən] n.模棱两可的话，含糊话
era     [ˈiərə] n.时代，年代；纪元
eradicate     [i'rædikeit] v.根除；扑灭
erase     [i'reiz] v.擦掉，抹去
erasure     [i'reiʒə] n.擦掉
erect     [iˈrekt] vt.建造；使竖立
erosion     n.腐蚀,侵蚀
err     [ə:] v.犯错误，出错
errand     ['erənd] n.差使；差事
erratic     [i'rætik] a.反复无常的；古怪的
erroneous     adj.错误的,不正确的
error     [ˈerə] n.错误，谬误；差错
ersatz     [eə'zɑ:tz] a.代用的，假的
erstwhile     ['ə:stwail] a.从前的，过去的
erudite     ['eru:dait] a.博学的，饱学的
erupt     [i'rʌpt] v.爆发；喷出(熔岩、水、气体、泥浆等)
escalate     ['eskəleit] v.(战争等)升级；(快速)扩大，上升
escalation     [,eskə'leiʃən] n.逐步上升，逐步增强
escape     [isˈkeip] vi.逃跑；逸出 n.逃跑
escapism     [is'keipizəm] n.逃避现实(的习气)
eschew     [is'tʃu:] v.避开，戒绝
escort     [is'kɔ:t] v. 护送；n. 护送者
esophagus     [i(:)'sɔfəɡəs] n.食道，食管
esoteric     [,esəu'terik] a.难懂的，神秘的
especially     [isˈpe∫əli] ad.特别，尤其，格外
espionage     ['espiənidʒ] n.间谍活动
espousal     [is'pəuzəl] n.拥护，支持
espouse     [is'pauz] v.支持，拥护
espy     [is'pai] v.(从远处等)突然看到
essay     [ˈesei] n.短文，散文，小品文
essence     n.基本,[哲]本质,香精
essential     [iˈsen∫əl] a.必要的，本质的
establish     [isˈtæbli∫] vt.建立，设立；确立
establishment     [isˈtæbli∫mənt] n.建立,设/确立
estate     [i'steit] n.房地产;不动产;所有权;地位;生活状况
esteem     [i'sti:m] n.尊敬，尊重 vt.尊重，敬重;把…看作
esthetic     adj.感觉的
estimable     ['estiməbl] a.值得尊敬的；可估计的
estimate     [ˈestimeit] vt.估计，评价 n.估计
estrange     [is'treindʒ] v. 使疏远
estranged     [i'streindʒd] a.疏远的，分开的，分离的
estuary     ['estjuəri] n. 河口，三角湾
etch     [etʃ] v.蚀刻；铭记
etching     ['etʃiŋ] n.蚀刻术；蚀刻板画
eternal     [i(:)'tə:nl] a.永久的，永恒的，不朽的
ethereal     [i'θiəriəl] a.太空；轻巧的
ethics     ['eθiks] n.伦理学；道德规范
ethnic     ['eθnik] a.种族的
ethnology     [eθ'nɔlədʒi] n.人种学
ethos     ['i:θɔs] n.(个人、团体或民族)道德风貌，思潮，信仰
etiquette     ['etiket] n.礼仪；礼节
etymology     [,eti'mɔlədʒi] n.语源学
eucalyptus     [,ju:kə'liptəs] n.桉树
eugenic     [ju:'dʒenik] a. 优生(学)的
eulogistic     [,ju:lə'dʒistik] a.颂扬的，歌功颂德的
eulogize     ['ju:lədʒaiz] v.称赞，颂扬
eulogy     ['ju:lədʒi] n.颂词，颂文
euphemism     ['ju:fimizəm] n.婉言，委婉的说法
euphonious     [ju:'fəuniəs] a.悦耳的
euphoria     [ju:'fɔ:riə] n.幸福愉快感
Europe     [ˈjuərəp] n.欧洲
European     [ˌjuərəˈpi(ː)ən] a.欧洲的 n.欧洲人
evacuate     [i'vækjueit] v.撤退；撤离
evade     [i'veid] v.逃避；规避
evaluate     [iˈvæljueit] vt.评价，估…的价
evaluation     [i,vælju'eiʃən] n.评价，评估
evanescent     [,i:və'nesnt] a.迅速消失的，短暂的
evaporate     [iˈvæpəreit] vt.使蒸发 vi.蒸发
evasion     [i'veiʒən] n.躲避；借口
evasive     [i'veisiv] a.迥避的，逃避的；托辞的
eve     [iːv] n.前夜，前夕，前一刻
even     [ˈiːvən] ad.甚至；甚至更，还
evenhanded     [,ivən'hændid] a.公平的，不偏不倚的
evening     [ˈiːvniŋ] n.傍晚，黄昏，晚上
event     [iˈvent] n.事件，大事；事变
even-tempered     ['i:vən'tempəd] a. 性情平和的；不易生气的
eventually     [iˈventjuəli] ad.终于；最后
ever     [ˈevə] ad.在任何时候；曾经
everlasting     [,evə'lɑ:stiŋ] a. 永恒的，持久的，无止境的，耐用的
every     [ˈevri] a.每一的；每隔…的
everybody     [ˈevribɔdi] pron.每人，人人
everyday     [ˈevridei] a.每天的，日常的
everyone     [ˈevriwʌn] pron.每人，人人
